City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,sao joao da barra,-21.6403,-41.0511,24.62,91,0,5.61,BR,1715480442
295,natal,-5.795,-35.2094,25.36,100,75,4.12,BR,1715480207
296,thunder bay,48.4001,-89.3168,13.99,44,75,3.09,CA,1715480435
297,nova sintra,14.8667,-24.7167,24.46,78,80,7.71,CV,1715480443
298,boda,4.3189,17.4695,22.8,85,67,1.66,CF,1715480443
299,ta`u,-14.2336,-169.5144,27.66,81,100,10.09,AS,1715480443
300,songea,-10.6833,35.65,14.61,83,1,0.89,TZ,1715480443
301,tromso,69.6496,18.957,4.01,93,100,4.12,NO,1715480444
302,yigo village,13.5361,144.8886,31.62,65,75,7.2,GU,1715480444
303,yuzhno-kurilsk,44.0306,145.8556,8.54,96,100,6.15,RU,1715480444
304,dabhol,17.6,73.1667,28.51,76,81,3.74,IN,1715480444
305,powell,40.1578,-83.0752,13.15,74,0,2.57,US,1715480444
306,salobrena,36.7428,-3.5872,19.15,62,2,1.92,ES,1715480445
307,foix,42.8333,1.5833,14.73,90,100,2.15,FR,1715480445
308,port isabel,26.0734,-97.2086,27.23,82,75,4.63,US,1715480445
309,changji,44.0167,87.3167,23.44,46,5,2.0,CN,1715480445
310,lisala,2.15,21.5167,23.62,79,68,1.09,CD,1715480446
311,port douglas,-16.4833,145.4667,24.94,82,80,6.48,AU,1715480446
312,akureyri,65.6835,-18.0878,3.96,100,100,2.57,IS,1715480446
313,muisne,0.6,-80.0333,26.13,86,100,1.88,EC,1715480446
314,plettenberg bay,-34.0527,23.3716,12.48,72,0,2.74,ZA,1715480446
315,coahuayana de hidalgo,18.7,-103.6583,23.04,85,4,0.66,MX,1715480447
316,ishigaki,24.3448,124.1572,30.07,74,75,7.72,JP,1715480447
317,hilo,19.7297,-155.09,24.23,95,100,3.6,US,1715480323
318,concordia,-31.393,-58.0209,14.32,96,100,2.24,AR,1715480447
319,chudovo,59.1167,31.6833,1.14,97,40,2.05,RU,1715480447
320,holualoa,19.6228,-155.9522,25.91,72,0,4.12,US,1715480448
321,arraial do cabo,-22.9661,-42.0278,24.63,88,5,4.04,BR,1715480448
322,san isidro de curuguaty,-24.5167,-55.7,21.73,61,18,1.03,PY,1715480448
323,rio cuarto,-33.1307,-64.3499,9.26,75,14,0.97,AR,1715480448
324,mili,6.0815,171.735,26.16,88,100,8.99,MH,1715480449
325,kyren,51.6828,102.1408,17.75,43,100,0.89,RU,1715480449
326,ingeniero jacobacci,-41.3427,-69.5448,0.69,94,90,1.69,AR,1715480449
327,san antonio de pale,-1.4014,5.6325,26.26,90,87,3.3,GQ,1715480449
